 year |                   primary_situation                    | total_incidents 
 2003 | 352 - Extrication of victim(s) from vehicle            |              37
 2003 | 112 - Fires in struct. other than in a bldg.           |              37
 2003 | 441 - Heat- short circuit, defect/worn wiring          |              36
 2003 | 410 - Flammable gas or liquid condition, other         |              36
 2003 | 251 - Excess heat, scorth burns with no ign.           |              35
 2003 | 671 - Hazmat release investigation w/no hazmat         |              34
 2003 | 114 - Chimney/flue fire, confined to chimney           |              28
 2003 | 641 - Vicinity alarm (incid. another location)         |              26
 2003 | 443 - Light ballast breakdown                          |              26
 2003 | 731 - Sprinkler activation due to malfunction          |              23
 2003 | 734 - Heat detector activation/malfunction             |              23
 2003 | 160 - Special outside fire, other                      |              23
 2003 | 381 - Rescue or EMS standby                            |              21
 2003 | 542 - Animal rescue                                    |              21
 2003 | 210 - Steam Rupture, steam, other                      |              20
 2003 | 240 - Explosion (no fire), other                       |              19
 2003 | 221 - Rupture air or gas, pipe/pipline                 |              19
 2003 | 340 - Search, other                                    |              17
 2003 | 736 - CO detector activation/malfunction               |              15
 2003 | 200 - Overpressure rupture/explosion, overheat         |              15
 2003 | 164 - Outside mailbox fire                             |              15
 2003 | 351 - Extrication of victim(s) from Structure          |              15
 2003 | 243 - Fireworks explosion (no fire)                    |              14
 2003 | 342 - Search for person in water                       |              13
 2003 | 721 - Bomb scare - no bomb                             |              13
 2003 | 422 - Chemical spill or leak(haz.)                     |              13
 2003 | 672 - Biological hazard investigation,none found       |              12
 2003 | 162 - Outside equipment fire                           |              12
 2003 | 140 - Natural vegetation fire, other                   |              12
 2003 | 451 - Biological hazard, confirmed or suspected        |              11
 2003 | 512 - Ring or jewelry removal                          |              10
 2003 | 364 - Surf rescue                                      |              10
 2003 | 540 - Animal problem, other                            |               9
 2003 | 421 - Chemical hazard (no spill or leak)               |               9
 2003 | 360 - Water & ice related rescue, other                |               8
 2003 | 356 - High angle rescue                                |               7
 2003 | 732 - Exting. sys. activation/ malfunction             |               7
 2003 | 420 - Toxic condition, other (haz.)                    |               7
 2003 | 220 - Rupture from air or gas, other                   |               7
 2003 | 116 - Fuel burner/boiler mal., fire coinfined          |               6
 2003 | 561 - Unauthorized burning                             |               6
 2003 | 482 - Threat to burn                                   |               6
 2003 | 812 - Flood assessment                                 |               6
 2003 | 742 - Extinguishing system activation                  |               6
 2003 | 211 - Steam Rupture, Pipe or pipeline                  |               6
 2003 | 223 - Air/gas rupture of pressure or process           |               6
 2003 | 141 - Forest, woods or wildland fire                   |               6
 2003 | 132 - Road freight or transport vehicle fire           |               6
 2003 | 461 - Bldg/structure weakened or collapsed             |               6
 2003 | 122 - Fire in motor home, camper or RV                 |               6
 2003 | 480 - Attempted burning, illegal action, other         |               5
 2003 | 361 - Swimming/recreational water areas rescue         |               5
 2003 | 371 - Electrocution or potential electrocution         |               5
 2003 | 471 - Explosive/bomb removal(bomb scare =721)          |               5
 2003 | 161 - Outside storage fire                             |               5
 2003 | 357 - Extrication of victim(s) from machinery          |               5
 2003 | 372 - Trapped by power lines                           |               5
 2003 | 746 - CO detector activation, no CO                    |               5
 2003 | 212 - Overpressure rupture of steam boiler             |               4
 2003 | 365 - Watercraft rescue                                |               4
 2003 | 571 - Cover assignment, standby, moveup                |               4
 2003 | 423 - Refrigeration leak                               |               4
 2003 | Y -                                                    |               4
 2003 | 152 - Garbage dump or sanitary landfill fire           |               4
 2003 | 354 - Trench/below grade rescue                        |               3
 2003 | 163 - Outside gas/vapor combustion explosion           |               3
 2003 | 424 - Carbon monoxide incident                         |               3
 2003 | 370 - Electrical rescue, other                         |               3
 2003 | 341 - Search for person on land                        |               3
 2003 | 155 - Outside compactor/compacted trash fire           |               3
 2003 | 133 - Rail vehicle fire                                |               3
 2003 | 632 - Prescribed fire                                  |               3
 2003 | CR -                                                   |               3
 2003 | 25* -                                                  |               2
 2003 | 11 -                                                   |               2
 2003 | 137 - Camper or recreational vehicle (RV) fire         |               2
 2003 | 153 - Construction or demolition landfill fire         |               2
 2003 | 75 -                                                   |               2
 2003 | 815 - Severe weather/Nat. Disaster standby             |               2
 2003 | 213 - Steam rupture, pressure/process vessel           |               2
 2003 | 138 - Off-road vehicle or heavy equipment fire         |               2
 2003 | 481 - Attempt to burn                                  |               2
 2003 | 123 - Fire in portable bldg., fixed location           |               2
 2003 | 117 - Commercial Compactor fire, rubbish only          |               2
 2003 | 362 - Ice rescue                                       |               2
 2003 | 541 - Animal problem                                   |               2
 2003 | 71 -                                                   |               1
 2003 | 170 - Cultivated vegetation, crop fire, other          |               1
 2003 | 241 - Munitions or bomb explosion (no fire)            |               1
 2003 | 814 - Lightning strike (no fire)                       |               1
 2003 | 355 - Confined space rescue                            |               1
 2003 | 811 - Earthquake assessment                            |               1
 2003 | 242 - Blasting agent explosion (no fire)               |               1
 2003 | 431 - Radiation leak, radioactive material             |               1
 2003 | 751 - Biological hazard, malicious false report        |               1
 2003 | 231 - Chem. reaction rupture of process vessel         |               1
 2003 | 121 - Fire in mob. home used as residence              |               1
 2003 | 222 - Rupture of boiler from air or gas                |               1
 2003 | 813 - Wind storm, tornado/hurricane assessment         |               1
 2003 | 173 - Cultivated trees or nursery stock fire           |               1
 2003 | 115 - Incinerator overload/mal.,fire confined          |               1
 2003 | 134 - Water vehicle fire (Boat, Ship, etc.)            |               1
 2004 | 711 - Municipal alarm system, Street Box False         |            5256
 2004 | 700 - False alarm or false call, other                 |            2177
 2004 | 745 - Alarm system sounded/no fire-accidental          |            1464
 2004 | 730 - System malfunction, other                        |            1227
 2004 | 735 - Alarm system sounded due to malfunction          |            1121
 2004 | 311 - Medical assist, assist EMS crew                  |            1095
 2004 | 113 - Cooking fire, confined to container              |            1018
 2004 | 740 - Unintentional alarm, other                       |            1015
 2004 | 118 - Trash or rubbish fire, contained                 |             861
 2004 | 500 - Service Call, other                              |             740
 2004 | 554 - Assist invalid                                   |             701
 2004 | 651 - Smoke scare, odor of smoke                       |             626
 2004 | 111 - Building fire                                    |             613
 2004 | 733 - Smoke detector activation/malfunction            |             610
 2004 | 520 - Water problem, other                             |             551
 2004 | 743 - Smoke detector, no fire, accidental              |             538
 2004 | 551 - Assist PD or other Govern. Agency                |             498
 2004 | 522 - Water or steam leak                              |             404
 2004 | 710 - Malicious, mischievous false call, other         |             394
 2004 | 511 - Lock-out                                         |             371
 2004 | 131 - Passenger vehicle fire                           |             346
 2004 | 353 - Removal of victim(s) from stalled elev.          |             319
 2004 | 600 - Good intent call, other                          |             309
 2004 | 151 - Outside rubbish, trash or waste fire             |             279
 2004 | 322 - Vehicle accident with injuries                   |             272
 2004 | 400 - Hazardous condition, other                       |             267
 2004 | 531 - Smoke or odor removal                            |             248
 2004 | 744 - Detector activation, no fire - accident          |             243
 2004 | 550 - Public service assistance, other                 |             242
 2004 | 411 - Gasoline or other flammable liquid spill         |             235
 2004 | 100 - Fire, other                                      |             228
 2004 | 300 - Rescue, EMS call, other                          |             226
 2004 | 715 - Local alarm sys., Malicious False alarm          |             218
 2004 | 900 - Special type of incident, other                  |             211
 2004 | 412 - Gas leak (natural gas or LPG)                    |             204
 2004 | 440 - Elec. wiring/equip. problem, other               |             203
 2004 | 331 - Lock-in (if lock out , use 511 )                 |             196
 2004 | 150 - Outside rubbish fire, other                      |             189
 2004 | 911 - Citizen complaint                                |             171
 2004 | 510 - Person in distress, other                        |             153
 2004 | 463 - Vehicle accident, general cleanup                |             151
 2004 | 714 - Central station, malicious false alarm           |             146
 2004 | 444 - Power line down (wire)                           |             139
 2004 | 154 - Dumpster/Outside trash receptacle fire           |             123
 2004 | 611 - Dispatched & canceled en route                   |             116
 2004 | 143 - Grass fire                                       |             115
 2004 | 445 - Arcing, shorted electrical equipment             |              94
 2004 | 323 - Auto/Ped. Accident (Veh.)                        |              87
 2004 | 741 - Sprinkler activation/no fire-accidental          |              85
 2004 | 553 - Public service                                   |              85
 2004 | 130 - Mobile property (vehicle) fire, other            |              85
 2004 | 712 - Direct tie to FD, malicious/false alarm          |              84
 2004 | 413 - Oil or other combustible liquid spill            |              79
 2004 | 652 - Steam/vapor/fog/dust mistaken for smoke          |              79
 2004 | 521 - Water evacuation                                 |              60
 2004 | 650 - Steam/gas mistaken for smoke, other              |              58
 2004 | 653 - Barbecue, tar kettle                             |              57
 2004 | 552 - Police matter                                    |              55
 2004 | 442 - Overheated motor                                 |              54
 2004 | 350 - Extrication, rescue, other                       |              51
 2004 | 321 - EMS excluding veh. accident w/injuries           |              50
 2004 | 142 - Brush, or brush and grass mixture fire           |              48
 2004 | 460 - Accident, potential accident, other              |              48
 2004 | 661 - EMS call, party transported by non-fire ag       |              47
 2004 | 621 - Wrong location                                   |              45
 2004 | 713 - Telephone, malicious false alarm                 |              43
 2004 | 352 - Extrication of victim(s) from vehicle            |              39
 2004 | 112 - Fires in struct. other than in a bldg.           |              38
 2004 | 160 - Special outside fire, other                      |              37
 2004 | 443 - Light ballast breakdown                          |              36
 2004 | 251 - Excess heat, scorth burns with no ign.           |              34
 2004 | 731 - Sprinkler activation due to malfunction          |              34
 2004 | 671 - Hazmat release investigation w/no hazmat         |              31
 2004 | 441 - Heat- short circuit, defect/worn wiring          |              31
 2004 | 381 - Rescue or EMS standby                            |              26
 2004 | 221 - Rupture air or gas, pipe/pipline                 |              25
 2004 | 555 - Defective elevator, no occupants                 |              24
 2004 | 410 - Flammable gas or liquid condition, other         |              24
 2004 | 641 - Vicinity alarm (incid. another location)         |              24
 2004 | 812 - Flood assessment                                 |              23
 2004 | 542 - Animal rescue                                    |              20
 2004 | 210 - Steam Rupture, steam, other                      |              20
 2004 | 114 - Chimney/flue fire, confined to chimney           |              19
 2004 | 462 - Aircraft standby                                 |              18
 2004 | 140 - Natural vegetation fire, other                   |              17
 2004 | 243 - Fireworks explosion (no fire)                    |              17
 2004 | 340 - Search, other                                    |              14
 2004 | 734 - Heat detector activation/malfunction             |              14
 2004 | 421 - Chemical hazard (no spill or leak)               |              12
 2004 | 422 - Chemical spill or leak(haz.)                     |              11
 2004 | 240 - Explosion (no fire), other                       |              10
 2004 | 481 - Attempt to burn                                  |              10
 2004 | 732 - Exting. sys. activation/ malfunction             |              10
 2004 | 342 - Search for person in water                       |              10
 2004 | 461 - Bldg/structure weakened or collapsed             |              10
 2004 | 162 - Outside equipment fire                           |               9
 2004 | 351 - Extrication of victim(s) from Structure          |               9
 2004 | 360 - Water & ice related rescue, other                |               8
 2004 | 424 - Carbon monoxide incident                         |               8
 2004 | 672 - Biological hazard investigation,none found       |               8
 2004 | 211 - Steam Rupture, Pipe or pipeline                  |               7
 2004 | 223 - Air/gas rupture of pressure or process           |               7
 2004 | 451 - Biological hazard, confirmed or suspected        |               7
 2004 | 742 - Extinguishing system activation                  |               7
 2004 | 364 - Surf rescue                                      |               7
 2004 | 512 - Ring or jewelry removal                          |               7
 2004 | 173 - Cultivated trees or nursery stock fire           |               7
 2004 | 122 - Fire in motor home, camper or RV                 |               6
 2004 | 736 - CO detector activation/malfunction               |               6
 2004 | 721 - Bomb scare - no bomb                             |               6
 2004 | 164 - Outside mailbox fire                             |               6
 2004 | 571 - Cover assignment, standby, moveup                |               6
 2004 | 541 - Animal problem                                   |               6
 2004 | 220 - Rupture from air or gas, other                   |               5
 2004 | 155 - Outside compactor/compacted trash fire           |               5
 2004 | 423 - Refrigeration leak                               |               5
 2004 | 371 - Electrocution or potential electrocution         |               5
 2004 | 357 - Extrication of victim(s) from machinery          |               5
 2004 | 132 - Road freight or transport vehicle fire           |               5
 2004 | 116 - Fuel burner/boiler mal., fire coinfined          |               5
 2004 | 355 - Confined space rescue                            |               5
 2004 | 200 - Overpressure rupture/explosion, overheat         |               5
 2004 | 134 - Water vehicle fire (Boat, Ship, etc.)            |               4
 2004 | 540 - Animal problem, other                            |               4
 2004 | 117 - Commercial Compactor fire, rubbish only          |               4
 2004 | 365 - Watercraft rescue                                |               4
 2004 | 356 - High angle rescue                                |               4
 2004 | 561 - Unauthorized burning                             |               4
 2004 | 800 - Severe weather/Nat. disaster, other              |               3
 2004 | 420 - Toxic condition, other (haz.)                    |               3
 2004 | 161 - Outside storage fire                             |               3
 2004 | 480 - Attempted burning, illegal action, other         |               3
 2004 | 212 - Overpressure rupture of steam boiler             |               3
 2004 | 138 - Off-road vehicle or heavy equipment fire         |               3
 2004 | 471 - Explosive/bomb removal(bomb scare =721)          |               3
 2004 | 751 - Biological hazard, malicious false report        |               3
 2004 | 370 - Electrical rescue, other                         |               3
 2004 | 813 - Wind storm, tornado/hurricane assessment         |               3
 2004 | 746 - CO detector activation, no CO                    |               3
 2004 | 141 - Forest, woods or wildland fire                   |               2
 2004 | 153 - Construction or demolition landfill fire         |               2
 2004 | 133 - Rail vehicle fire                                |               2
 2004 | 123 - Fire in portable bldg., fixed location           |               2
 2004 | 115 - Incinerator overload/mal.,fire confined          |               2
 2004 | 213 - Steam rupture, pressure/process vessel           |               2
 2004 | 137 - Camper or recreational vehicle (RV) fire         |               2
 2004 | 163 - Outside gas/vapor combustion explosion           |               1
 2004 | 341 - Search for person on land                        |               1
 2004 | 363 - Swift water rescue                               |               1
 2004 | 354 - Trench/below grade rescue                        |               1
 2004 | 135 - Aircraft fire                                    |               1
 2004 | 361 - Swimming/recreational water areas rescue         |               1
 2004 | 815 - Severe weather/Nat. Disaster standby             |               1
 2004 | 120 - Fire mob.prop. used as fixed structure           |               1
 2004 | 372 - Trapped by power lines                           |               1
 2004 | 136 - Self-propelled motor home or RV                  |               1
 2004 | 170 - Cultivated vegetation, crop fire, other          |               1
 2005 | 711 - Municipal alarm system, Street Box False         |            4060
 2005 | 700 - False alarm or false call, other                 |            1849
 2005 | 745 - Alarm system sounded/no fire-accidental          |            1580
 2005 | 730 - System malfunction, other                        |            1343
 2005 | 740 - Unintentional alarm, other                       |            1325
 2005 | 735 - Alarm system sounded due to malfunction          |            1187
 2005 | 311 - Medical assist, assist EMS crew                  |            1067
 2005 | 113 - Cooking fire, confined to container              |            1006
 2005 | 118 - Trash or rubbish fire, contained                 |             778
 2005 | 743 - Smoke detector, no fire, accidental              |             760
 2005 | 651 - Smoke scare, odor of smoke                       |             652
 2005 | 500 - Service Call, other                              |             630
 2005 | 520 - Water problem, other                             |             560
 2005 | 111 - Building fire                                    |             518
 2005 | 733 - Smoke detector activation/malfunction            |             508
 2005 | 554 - Assist invalid                                   |             489
 2005 | 522 - Water or steam leak                              |             428
 2005 | 551 - Assist PD or other Govern. Agency                |             401
 2005 | 710 - Malicious, mischievous false call, other         |             381
 2005 | 511 - Lock-out                                         |             379
 2005 | 353 - Removal of victim(s) from stalled elev.          |             332
 2005 | 600 - Good intent call, other                          |             317
 2005 | 131 - Passenger vehicle fire                           |             300
 2005 | 400 - Hazardous condition, other                       |             290
 2005 | 151 - Outside rubbish, trash or waste fire             |             279
 2005 | 744 - Detector activation, no fire - accident          |             251
 2005 | 300 - Rescue, EMS call, other                          |             249
 2005 | 322 - Vehicle accident with injuries                   |             240
 2005 | 531 - Smoke or odor removal                            |             232
 2005 | 412 - Gas leak (natural gas or LPG)                    |             231
 2005 | 550 - Public service assistance, other                 |             222
 2005 | 440 - Elec. wiring/equip. problem, other               |             221
 2005 | 900 - Special type of incident, other                  |             218
 2005 | 411 - Gasoline or other flammable liquid spill         |             195
 2005 | 911 - Citizen complaint                                |             190
 2005 | 444 - Power line down (wire)                           |             189
 2005 | 150 - Outside rubbish fire, other                      |             185
 2005 | 331 - Lock-in (if lock out , use 511 )                 |             171
 2005 | 715 - Local alarm sys., Malicious False alarm          |             153
 2005 | 154 - Dumpster/Outside trash receptacle fire           |             141
 2005 | 510 - Person in distress, other                        |             134
 2005 | 100 - Fire, other                                      |             129
 2005 | 445 - Arcing, shorted electrical equipment             |             109
 2005 | 741 - Sprinkler activation/no fire-accidental          |             109
 2005 | 652 - Steam/vapor/fog/dust mistaken for smoke          |             108
 2005 | 463 - Vehicle accident, general cleanup                |             102
 2005 | 611 - Dispatched & canceled en route                   |             102
 2005 | 143 - Grass fire                                       |              93
 2005 | 323 - Auto/Ped. Accident (Veh.)                        |              89
 2005 | 712 - Direct tie to FD, malicious/false alarm          |              87
 2005 | 413 - Oil or other combustible liquid spill            |              86
 2005 | 553 - Public service                                   |              79
 2005 | 714 - Central station, malicious false alarm           |              74
 2005 | 130 - Mobile property (vehicle) fire, other            |              68
 2005 | 442 - Overheated motor                                 |              67
 2005 | 653 - Barbecue, tar kettle                             |              53
 2005 | 251 - Excess heat, scorth burns with no ign.           |              52
 2005 | 460 - Accident, potential accident, other              |              50
 2005 | 650 - Steam/gas mistaken for smoke, other              |              48
 2005 | 621 - Wrong location                                   |              44
 2005 | 142 - Brush, or brush and grass mixture fire           |              42
 2005 | 441 - Heat- short circuit, defect/worn wiring          |              40
 2005 | 521 - Water evacuation                                 |              39
 2005 | 661 - EMS call, party transported by non-fire ag       |              37
 2005 | 552 - Police matter                                    |              37
 2005 | 350 - Extrication, rescue, other                       |              35
 2005 | 160 - Special outside fire, other                      |              31
 2005 | 352 - Extrication of victim(s) from vehicle            |              28
 2005 | 555 - Defective elevator, no occupants                 |              28
 2005 | 671 - Hazmat release investigation w/no hazmat         |              27
 2005 | 721 - Bomb scare - no bomb                             |              27
 2005 | 410 - Flammable gas or liquid condition, other         |              26
 2005 | 112 - Fires in struct. other than in a bldg.           |              25
 2005 | 342 - Search for person in water                       |              24
 2005 | 641 - Vicinity alarm (incid. another location)         |              22
 2005 | 321 - EMS excluding veh. accident w/injuries           |              22
 2005 | 422 - Chemical spill or leak(haz.)                     |              21
 2005 | 364 - Surf rescue                                      |              20
 2005 | 443 - Light ballast breakdown                          |              20
 2005 | 243 - Fireworks explosion (no fire)                    |              20
 2005 | 221 - Rupture air or gas, pipe/pipline                 |              20
 2005 | 731 - Sprinkler activation due to malfunction          |              20
 2005 | 381 - Rescue or EMS standby                            |              19
 2005 | 713 - Telephone, malicious false alarm                 |              18
 2005 | 734 - Heat detector activation/malfunction             |              15
 2005 | 340 - Search, other                                    |              15
 2005 | 351 - Extrication of victim(s) from Structure          |              14
 2005 | 240 - Explosion (no fire), other                       |              13
 2005 | 421 - Chemical hazard (no spill or leak)               |              13
 2005 | 140 - Natural vegetation fire, other                   |              13
 2005 | 542 - Animal rescue                                    |              11
 2005 | 210 - Steam Rupture, steam, other                      |              11
 2005 | 162 - Outside equipment fire                           |              11
 2005 | 114 - Chimney/flue fire, confined to chimney           |              10
 2005 | 540 - Animal problem, other                            |              10
 2005 | 461 - Bldg/structure weakened or collapsed             |              10
 2005 | 742 - Extinguishing system activation                  |              10
 2005 | 365 - Watercraft rescue                                |               9
 2005 | 420 - Toxic condition, other (haz.)                    |               9
 2005 | 132 - Road freight or transport vehicle fire           |               8
 2005 | 812 - Flood assessment                                 |               8
 2005 | 800 - Severe weather/Nat. disaster, other              |               8
 2005 | 732 - Exting. sys. activation/ malfunction             |               7
 2005 | 211 - Steam Rupture, Pipe or pipeline                  |               7
 2005 | 423 - Refrigeration leak                               |               7
 2005 | 361 - Swimming/recreational water areas rescue         |               7
 2005 | 220 - Rupture from air or gas, other                   |               6
 2005 | 122 - Fire in motor home, camper or RV                 |               6
 2005 | 736 - CO detector activation/malfunction               |               6
 2005 | 471 - Explosive/bomb removal(bomb scare =721)          |               6
 2005 | 672 - Biological hazard investigation,none found       |               6
 2005 | 200 - Overpressure rupture/explosion, overheat         |               5
 2005 | 360 - Water & ice related rescue, other                |               5
 2005 | 512 - Ring or jewelry removal                          |               5
 2005 | 746 - CO detector activation, no CO                    |               5
 2005 | 356 - High angle rescue                                |               5
 2005 | 451 - Biological hazard, confirmed or suspected        |               5
 2005 | 357 - Extrication of victim(s) from machinery          |               5
 2005 | 424 - Carbon monoxide incident                         |               5
 2005 | 371 - Electrocution or potential electrocution         |               5
 2005 | 462 - Aircraft standby                                 |               5
 2005 | 481 - Attempt to burn                                  |               5
 2005 | 223 - Air/gas rupture of pressure or process           |               4
 2005 | 480 - Attempted burning, illegal action, other         |               4
 2005 | 116 - Fuel burner/boiler mal., fire coinfined          |               4
 2005 | 212 - Overpressure rupture of steam boiler             |               3
 2005 | 173 - Cultivated trees or nursery stock fire           |               3
 2005 | 134 - Water vehicle fire (Boat, Ship, etc.)            |               3
 2005 | 370 - Electrical rescue, other                         |               3
 2005 | 571 - Cover assignment, standby, moveup                |               3
 2005 | 355 - Confined space rescue                            |               3
 2005 | 155 - Outside compactor/compacted trash fire           |               3
 2005 | 561 - Unauthorized burning                             |               3
 2005 | 141 - Forest, woods or wildland fire                   |               3
 2005 | 164 - Outside mailbox fire                             |               3
 2005 | 153 - Construction or demolition landfill fire         |               3
 2005 | 341 - Search for person on land                        |               2
 2005 | 117 - Commercial Compactor fire, rubbish only          |               2
 2005 | 170 - Cultivated vegetation, crop fire, other          |               2
 2005 | 161 - Outside storage fire                             |               2
 2005 | 751 - Biological hazard, malicious false report        |               2
 2005 | 133 - Rail vehicle fire                                |               2
 2005 | 813 - Wind storm, tornado/hurricane assessment         |               2
 2005 | 362 - Ice rescue                                       |               2
 2005 | 222 - Rupture of boiler from air or gas                |               2
 2005 | CR -                                                   |               2
 2005 | 163 - Outside gas/vapor combustion explosion           |               1
 2005 | 363 - Swift water rescue                               |               1
 2005 | 138 - Off-road vehicle or heavy equipment fire         |               1
 2005 | 242 - Blasting agent explosion (no fire)               |               1
 2005 | 152 - Garbage dump or sanitary landfill fire           |               1
 2005 | 241 - Munitions or bomb explosion (no fire)            |               1
 2005 | 372 - Trapped by power lines                           |               1
 2005 | 137 - Camper or recreational vehicle (RV) fire         |               1
 2005 | 343 - Search for person underground                    |               1
 2005 | 541 - Animal problem                                   |               1
 2005 | 121 - Fire in mob. home used as residence              |               1
 2005 | 431 - Radiation leak, radioactive material             |               1
 2006 | 711 - Municipal alarm system, Street Box False         |            3701
 2006 | 745 - Alarm system sounded/no fire-accidental          |            1698
 2006 | 311 - Medical assist, assist EMS crew                  |            1642
 2006 | 700 - False alarm or false call, other                 |            1422
 2006 | 740 - Unintentional alarm, other                       |            1132
 2006 | 113 - Cooking fire, confined to container              |            1126
 2006 | 735 - Alarm system sounded due to malfunction          |            1102
 2006 | 730 - System malfunction, other                        |             897
 2006 | 118 - Trash or rubbish fire, contained                 |             851
 2006 | 651 - Smoke scare, odor of smoke                       |             752
 2006 | 500 - Service Call, other                              |             697
 2006 | 743 - Smoke detector, no fire, accidental              |             675
 2006 | 733 - Smoke detector activation/malfunction            |             580
 2006 | 554 - Assist invalid                                   |             544
 2006 | 111 - Building fire                                    |             494
 2006 | 520 - Water problem, other                             |             445
 2006 | 522 - Water or steam leak                              |             443
 2006 | 551 - Assist PD or other Govern. Agency                |             442
 2006 | 353 - Removal of victim(s) from stalled elev.          |             437
 2006 | 710 - Malicious, mischievous false call, other         |             393
 2006 | 511 - Lock-out                                         |             341
 2006 | 600 - Good intent call, other                          |             320
 2006 | 322 - Vehicle accident with injuries                   |             312
 2006 | 151 - Outside rubbish, trash or waste fire             |             312
 2006 | 300 - Rescue, EMS call, other                          |             290
 2006 | 400 - Hazardous condition, other                       |             290
 2006 | 131 - Passenger vehicle fire                           |             287
 2006 | 531 - Smoke or odor removal                            |             250
 2006 | 444 - Power line down (wire)                           |             227
 2006 | 411 - Gasoline or other flammable liquid spill         |             225
 2006 | 412 - Gas leak (natural gas or LPG)                    |             219
 2006 | 440 - Elec. wiring/equip. problem, other               |             213
 2006 | 550 - Public service assistance, other                 |             205
 2006 | 150 - Outside rubbish fire, other                      |             205
 2006 | 900 - Special type of incident, other                  |             199
 2006 | 911 - Citizen complaint                                |             189
 2006 | 744 - Detector activation, no fire - accident          |             175
 2006 | 323 - Auto/Ped. Accident (Veh.)                        |             173
 2006 | 331 - Lock-in (if lock out , use 511 )                 |             165
 2006 | 100 - Fire, other                                      |             142
 2006 | 611 - Dispatched & canceled en route                   |             137
 2006 | 715 - Local alarm sys., Malicious False alarm          |             135
 2006 | 154 - Dumpster/Outside trash receptacle fire           |             128
 2006 | 463 - Vehicle accident, general cleanup                |             115
 2006 | 510 - Person in distress, other                        |             111
 2006 | 445 - Arcing, shorted electrical equipment             |             108
